Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2022-12-04 01:30:32,2022-12-06 13:37:30,7-11 Di Chai Mall,-0.57,0.02,GBP,COMPLETED,1129.61
FEE,Current,2022-12-07 04:52:24,2022-12-07 04:52:24,Extra Revolut Card,-4.99,0.00,GBP,COMPLETED,1124.62
FEE,Current,2022-12-07 04:52:24,2022-12-07 04:52:24,Card Delivery Fee,-17.99,0.00,GBP,COMPLETED,1106.63
CARD_PAYMENT,Current,2022-12-06 07:46:15,2022-12-07 14:43:17,Tops-Chiangmai,-14.67,0.15,GBP,COMPLETED,1091.81
CARD_PAYMENT,Current,2022-12-06 04:11:10,2022-12-07 14:43:17,Tops-Chiangmai,-1.77,0.02,GBP,COMPLETED,1090.02
CARD_PAYMENT,Current,2022-12-05 01:22:09,2022-12-07 14:46:10,7-11 Di Chai Mall,-1.73,0.02,GBP,COMPLETED,1088.27
CARD_PAYMENT,Current,2022-12-05 16:51:10,2022-12-07 14:46:10,7-11 Di Chai Mall,-0.52,0.01,GBP,COMPLETED,1087.74
CARD_PAYMENT,Current,2022-12-05 13:41:34,2022-12-07 14:46:15,7-11 Di Chai Mall,-0.33,0.00,GBP,COMPLETED,1087.41
TRANSFER,Current,2022-12-07 16:17:21,2022-12-07 16:17:21,To CHINMAY CHANDRASHEKHAR PANDHARE,-10.50,0.00,GBP,COMPLETED,1076.91
CARD_PAYMENT,Current,2022-12-07 05:00:34,2022-12-08 12:35:52,Paypal *rhapsodymus,-325.79,3.26,GBP,COMPLETED,747.86
CARD_PAYMENT,Current,2022-12-07 03:58:00,2022-12-08 13:22:10,Tops-Chiangmai,-1.78,0.02,GBP,COMPLETED,746.06
CARD_PAYMENT,Current,2022-12-07 08:50:53,2022-12-08 13:22:10,Tops-Chiangmai,-5.82,0.06,GBP,COMPLETED,740.18
CARD_PAYMENT,Current,2022-12-08 07:50:01,2022-12-09 13:11:04,Tops-Chiangmai,-6.73,0.07,GBP,COMPLETED,733.38
CARD_PAYMENT,Current,2022-12-08 02:02:59,2022-12-09 13:11:04,Tops-Chiangmai,-1.78,0.02,GBP,COMPLETED,731.58
CARD_PAYMENT,Current,2022-12-08 11:53:59,2022-12-09 13:11:04,Tops-Chiangmai,-4.46,0.04,GBP,COMPLETED,727.08
CARD_PAYMENT,Current,2022-12-07 15:31:09,2022-12-09 13:15:55,7-11 Di Chai Mall,-2.33,0.02,GBP,COMPLETED,724.73
CARD_PAYMENT,Current,2022-12-07 00:18:24,2022-12-09 13:15:59,7-11 Di Chai Mall,-1.52,0.02,GBP,COMPLETED,723.19
CARD_PAYMENT,Current,2022-12-09 04:28:31,2022-12-10 14:13:51,Rimping -Maya,-2.08,0.02,GBP,COMPLETED,721.09
CARD_PAYMENT,Current,2022-12-09 09:18:37,2022-12-10 14:13:55,Tops-Chiangmai,-6.92,0.07,GBP,COMPLETED,714.10
CARD_PAYMENT,Current,2022-12-09 04:25:34,2022-12-10 14:13:55,Cmk- 026 Maya,-1.72,0.02,GBP,COMPLETED,712.36
CARD_PAYMENT,Current,2022-12-09 07:58:43,2022-12-10 14:13:55,Save Drug Center-Chiangma,-31.17,0.31,GBP,COMPLETED,680.88
CARD_PAYMENT,Current,2022-12-08 15:58:43,2022-12-10 14:18:59,7-11 Di Chai Mall,-0.48,0.00,GBP,COMPLETED,680.40
CARD_PAYMENT,Current,2022-12-08 02:10:56,2022-12-10 14:19:01,7-11 Di Chai Mall,-0.38,0.00,GBP,COMPLETED,680.02
CARD_PAYMENT,Current,2022-12-10 07:45:38,2022-12-11 14:12:43,Tops-Chiangmai,-10.75,0.22,GBP,COMPLETED,669.05
CARD_PAYMENT,Current,2022-12-10 03:27:08,2022-12-11 14:12:43,Tops-Chiangmai,-2.70,0.06,GBP,COMPLETED,666.29
CARD_PAYMENT,Current,2022-12-11 07:34:47,2022-12-12 13:23:35,apple.com/bill,-1.79,0.00,GBP,COMPLETED,664.50
CARD_REFUND,Current,2022-12-12 00:00:00,2022-12-12 13:58:03,Refund from Foodpanda Thailand,6.21,0.00,GBP,COMPLETED,670.71
CARD_REFUND,Current,2022-12-12 00:00:00,2022-12-12 13:58:03,Refund from Foodpanda Thailand,6.20,0.00,GBP,COMPLETED,676.91
CARD_PAYMENT,Current,2022-12-11 14:30:39,2022-12-12 13:58:18,Tops-Chiangmai,-4.91,0.10,GBP,COMPLETED,671.90
CARD_PAYMENT,Current,2022-12-11 07:18:40,2022-12-12 13:58:18,Tops-Chiangmai,-3.88,0.08,GBP,COMPLETED,667.94
CARD_PAYMENT,Current,2022-12-11 03:03:13,2022-12-12 13:58:18,Tops-Chiangmai,-3.60,0.08,GBP,COMPLETED,664.26
CARD_PAYMENT,Current,2022-12-11 11:53:18,2022-12-12 13:58:18,Tops-Chiangmai,-2.81,0.06,GBP,COMPLETED,661.39
CARD_PAYMENT,Current,2022-12-10 15:25:56,2022-12-12 14:02:04,7-11 Di Chai Mall,-1.80,0.04,GBP,COMPLETED,659.55
CARD_PAYMENT,Current,2022-12-12 03:35:47,2022-12-13 13:26:47,Tops-Chiangmai,-9.74,0.10,GBP,COMPLETED,649.71
CARD_PAYMENT,Current,2022-12-12 10:18:00,2022-12-13 13:26:47,Tops-Chiangmai,-7.04,0.07,GBP,COMPLETED,642.60
CARD_PAYMENT,Current,2022-12-13 03:28:03,2022-12-14 13:25:19,Tops-Chiangmai,-8.50,0.12,GBP,COMPLETED,633.98
CARD_PAYMENT,Current,2022-12-13 11:45:03,2022-12-14 13:25:19,Tops-Chiangmai,-11.09,0.17,GBP,COMPLETED,622.72
CARD_PAYMENT,Current,2022-12-12 15:41:27,2022-12-14 13:29:47,Language Institute Chiang,-446.64,6.24,GBP,COMPLETED,169.84
CARD_PAYMENT,Current,2022-12-14 14:12:29,2022-12-15 15:30:56,Tops-Chiangmai,-8.50,0.12,GBP,COMPLETED,161.22
CARD_PAYMENT,Current,2022-12-14 07:46:21,2022-12-15 15:30:57,Tops-Chiangmai,-13.95,0.21,GBP,COMPLETED,147.06
CARD_PAYMENT,Current,2022-12-13 10:21:25,2022-12-15 15:35:21,7-11 Di Chai Mall,-0.45,0.00,GBP,COMPLETED,146.61
TOPUP,Current,2022-12-16 05:20:46,2022-12-16 05:20:46,Payment from Kuzovkov S,2000.00,0.00,GBP,COMPLETED,2146.61
CARD_PAYMENT,Current,2022-12-15 12:27:29,2022-12-16 13:17:45,Tops-Chiangmai,-13.83,0.21,GBP,COMPLETED,2132.57
CARD_PAYMENT,Current,2022-12-15 08:17:53,2022-12-16 13:17:45,Tops-Chiangmai,-4.40,0.06,GBP,COMPLETED,2128.11
CARD_PAYMENT,Current,2022-12-15 02:13:16,2022-12-16 13:17:45,Tops-Chiangmai,-3.83,0.06,GBP,COMPLETED,2124.22
CARD_PAYMENT,Current,2022-12-16 04:11:11,2022-12-17 14:27:07,Tops-Chiangmai,-6.51,0.10,GBP,COMPLETED,2117.61
CARD_PAYMENT,Current,2022-12-16 12:14:45,2022-12-17 14:27:07,Tops-Chiangmai,-3.73,0.06,GBP,COMPLETED,2113.82
CARD_PAYMENT,Current,2022-12-15 15:58:12,2022-12-17 14:30:49,7-11 Di Chai Mall,-1.29,0.02,GBP,COMPLETED,2112.51
CARD_PAYMENT,Current,2022-12-17 14:23:23,2022-12-18 13:19:08,Tops-Chiangmai,-5.76,0.15,GBP,COMPLETED,2106.60
CARD_PAYMENT,Current,2022-12-17 03:54:56,2022-12-18 13:19:08,Tops-Chiangmai,-9.26,0.23,GBP,COMPLETED,2097.11
CARD_PAYMENT,Current,2022-12-17 09:32:31,2022-12-18 13:19:09,Tops-Chiangmai,-6.60,0.17,GBP,COMPLETED,2090.34
CARD_PAYMENT,Current,2022-12-16 11:48:26,2022-12-18 13:21:56,7-11 Di Chai Mall,-0.15,0.00,GBP,COMPLETED,2090.19
CARD_PAYMENT,Current,2022-12-19 05:55:47,2022-12-19 05:55:47,Etsy Ireland,0.00,0.00,GBP,COMPLETED,2090.19
CARD_PAYMENT,Current,2022-12-18 16:44:56,2022-12-19 11:58:20,Airbnb * Hmekdxzdxn,-55.33,0.83,GBP,COMPLETED,2034.03
CARD_PAYMENT,Current,2022-12-17 09:00:40,2022-12-19 13:18:44,Gc Wellness House,-57.08,1.43,GBP,COMPLETED,1975.52
CARD_PAYMENT,Current,2022-12-18 06:00:31,2022-12-19 13:18:46,Tops-Chiangmai,-5.09,0.13,GBP,COMPLETED,1970.30
CARD_PAYMENT,Current,2022-12-18 02:40:03,2022-12-19 13:18:46,Tops-Chiangmai,-4.63,0.12,GBP,COMPLETED,1965.55
CARD_PAYMENT,Current,2022-12-20 02:13:21,2022-12-20 13:29:36,apple.com/bill,-2.49,0.00,GBP,COMPLETED,1963.06
CARD_PAYMENT,Current,2022-12-19 03:50:36,2022-12-20 13:36:12,Tops-Chiangmai,-6.37,0.09,GBP,COMPLETED,1956.60
CARD_PAYMENT,Current,2022-12-19 12:56:54,2022-12-20 13:36:12,Tops-Chiangmai,-4.17,0.06,GBP,COMPLETED,1952.37
CARD_PAYMENT,Current,2022-12-19 07:37:45,2022-12-20 13:36:12,Tops-Chiangmai,-3.52,0.06,GBP,COMPLETED,1948.79
CARD_PAYMENT,Current,2022-12-19 07:45:36,2022-12-20 13:36:12,Tops-Chiangmai,-10.04,0.15,GBP,COMPLETED,1938.60
CARD_PAYMENT,Current,2022-12-19 12:44:38,2022-12-20 13:36:15,Daiso Sangyo -C.festival,-2.18,0.03,GBP,COMPLETED,1936.39
CARD_PAYMENT,Current,2022-12-19 11:59:51,2022-12-20 13:38:48,Advanced Mpay*airtime Pre,-11.83,0.18,GBP,COMPLETED,1924.38
CARD_PAYMENT,Current,2022-12-19 11:58:48,2022-12-20 13:38:48,Advanced Mpay*airtime Pre,-35.49,0.53,GBP,COMPLETED,1888.36
CARD_PAYMENT,Current,2022-12-19 11:59:23,2022-12-20 13:38:48,Advanced Mpay*airtime Pre,-35.49,0.53,GBP,COMPLETED,1852.34
CARD_PAYMENT,Current,2022-12-18 15:21:56,2022-12-20 13:39:41,7-11 Di Chai Mall,-0.81,0.02,GBP,COMPLETED,1851.51
CARD_PAYMENT,Current,2022-12-20 11:06:36,2022-12-21 17:02:36,Tops-Chiangmai,-4.66,0.05,GBP,COMPLETED,1846.80
CARD_PAYMENT,Current,2022-12-20 10:57:52,2022-12-21 17:06:09,4199 Boots (central Festi,-6.51,0.07,GBP,COMPLETED,1840.22
CARD_PAYMENT,Current,2022-12-19 16:59:22,2022-12-21 17:06:46,7-11 Di Chai Mall,-1.42,0.02,GBP,COMPLETED,1838.78
CARD_PAYMENT,Current,2022-12-21 13:21:18,2022-12-22 19:08:33,Tops-Chiangmai,-2.29,0.02,GBP,COMPLETED,1836.47
CARD_PAYMENT,Current,2022-12-21 05:49:19,2022-12-22 19:08:33,Tops-Chiangmai,-10.12,0.10,GBP,COMPLETED,1826.25
CARD_PAYMENT,Current,2022-12-21 09:03:55,2022-12-22 19:16:15,Printful Inc. 80756648,-26.56,0.00,GBP,COMPLETED,1799.69
CARD_PAYMENT,Current,2022-12-21 08:55:28,2022-12-22 20:28:29,Sp Bgt-Shirt,-39.60,0.40,GBP,COMPLETED,1759.69
CARD_PAYMENT,Current,2022-12-22 05:05:57,2022-12-23 14:09:07,Tops-Chiangmai,-18.74,0.19,GBP,COMPLETED,1740.76
CARD_PAYMENT,Current,2022-12-23 07:46:52,2022-12-24 14:33:35,Tops-Chiangmai,-28.83,0.29,GBP,COMPLETED,1711.64
CARD_PAYMENT,Current,2022-12-22 10:12:53,2022-12-24 14:38:03,7-11 Di Chai Mall,-1.44,0.01,GBP,COMPLETED,1710.19
CARD_PAYMENT,Current,2022-12-24 12:03:39,2022-12-25 13:25:33,Tops-Chiangmai,-11.80,0.24,GBP,COMPLETED,1698.15
CARD_PAYMENT,Current,2022-12-24 03:24:27,2022-12-25 13:25:33,Tops-Chiangmai,-7.20,0.14,GBP,COMPLETED,1690.81
CARD_PAYMENT,Current,2022-12-24 08:25:23,2022-12-25 13:25:33,Tops-Chiangmai,-3.94,0.08,GBP,COMPLETED,1686.79
CARD_PAYMENT,Current,2022-12-23 04:33:36,2022-12-25 13:33:28,7-11 Di Chai Mall,-0.84,0.01,GBP,COMPLETED,1685.94
CARD_PAYMENT,Current,2022-12-26 06:25:17,2022-12-26 12:26:34,Airbnb * Hmpr52jzcp,-376.53,0.00,GBP,COMPLETED,1309.41
CARD_PAYMENT,Current,2022-12-25 10:54:45,2022-12-26 12:28:41,Unique Care Stati-Chiang,-47.98,0.96,GBP,COMPLETED,1260.47
CARD_PAYMENT,Current,2022-12-25 07:20:55,2022-12-26 12:28:45,Tops-Chiangmai,-4.92,0.10,GBP,COMPLETED,1255.45
CARD_PAYMENT,Current,2022-12-25 13:26:19,2022-12-26 12:28:45,Tops-Chiangmai,-8.16,0.16,GBP,COMPLETED,1247.13
CARD_PAYMENT,Current,2022-12-24 05:36:03,2022-12-26 12:31:23,7-11 Di Chai Mall,-1.54,0.04,GBP,COMPLETED,1245.55
CARD_PAYMENT,Current,2022-12-26 09:44:28,2022-12-27 13:05:12,Tops-Chiangmai,-8.87,0.09,GBP,COMPLETED,1236.59
CARD_PAYMENT,Current,2022-12-26 13:48:22,2022-12-27 13:05:13,Tops-Chiangmai,-5.71,0.06,GBP,COMPLETED,1230.82
CARD_PAYMENT,Current,2022-12-26 05:07:17,2022-12-27 13:07:30,325 Sct-Chiangmai Ram Hos,-3.97,0.04,GBP,COMPLETED,1226.81
CARD_PAYMENT,Current,2022-12-25 16:09:13,2022-12-27 13:08:24,7-11 Di Chai Mall,-1.44,0.02,GBP,COMPLETED,1225.35
CARD_PAYMENT,Current,2022-12-27 02:16:45,2022-12-28 12:59:00,Tops-Chiangmai,-6.87,0.07,GBP,COMPLETED,1218.41
CARD_PAYMENT,Current,2022-12-27 08:50:43,2022-12-28 12:59:00,Tops-Chiangmai,-9.42,0.09,GBP,COMPLETED,1208.90
CARD_PAYMENT,Current,2022-12-27 14:43:25,2022-12-28 12:59:01,Uniqlo-C.festival Chiangm,-75.58,0.76,GBP,COMPLETED,1132.56
CARD_PAYMENT,Current,2022-12-27 08:54:03,2022-12-28 13:07:32,Shangri-La Hotel Chiangma,-1.69,0.02,GBP,COMPLETED,1130.85
CARD_PAYMENT,Current,2022-12-27 14:30:03,2022-12-28 13:07:32,Ssp-Chiangmai 3,-92.34,0.92,GBP,COMPLETED,1037.59
CARD_PAYMENT,Current,2022-12-27 13:39:11,2022-12-28 13:07:35,Zara-Chiangmai,-148.61,1.49,GBP,COMPLETED,887.49
CARD_PAYMENT,Current,2022-12-26 06:58:37,2022-12-28 13:08:06,Gmarket,-42.18,0.00,GBP,COMPLETED,845.31
CARD_PAYMENT,Current,2022-12-26 04:10:34,2022-12-28 13:08:10,7-11 Di Chai Mall,-0.61,0.01,GBP,COMPLETED,844.69
CARD_PAYMENT,Current,2022-12-28 14:08:49,2022-12-28 14:08:49,Uber Uk Rides,0.00,0.00,GBP,COMPLETED,844.69
CARD_PAYMENT,Current,2022-12-28 14:09:22,2022-12-29 13:46:57,Uber * Pending,-22.92,0.11,GBP,COMPLETED,821.66
CARD_PAYMENT,Current,2022-12-28 04:35:28,2022-12-29 14:05:33,www.grab.com,-3.12,0.05,GBP,COMPLETED,818.49
CARD_PAYMENT,Current,2022-12-28 04:00:27,2022-12-29 14:05:41,Gc Wellness House,-95.39,1.21,GBP,COMPLETED,721.89
CARD_PAYMENT,Current,2022-12-28 02:10:59,2022-12-29 14:05:46,Tops-Chiangmai,-2.13,0.02,GBP,COMPLETED,719.74
CARD_PAYMENT,Current,2022-12-30 00:00:26,2022-12-30 13:18:34,Kasikorn Bank Pcl,-59.47,0.30,GBP,COMPLETED,659.97
CARD_PAYMENT,Current,2022-12-28 13:58:53,2022-12-30 13:19:29,Ktlomingsenteo    4956034,-39.61,0.20,GBP,COMPLETED,620.16
CARD_PAYMENT,Current,2022-12-30 01:09:26,2022-12-30 14:31:55,Uber *trip Help.uber.com,-4.83,0.02,GBP,COMPLETED,615.31
CARD_PAYMENT,Current,2022-12-31 14:42:06,2023-01-02 13:12:19,7-Eleven,-0.80,0.01,GBP,COMPLETED,614.50
CARD_PAYMENT,Current,2022-12-30 01:07:13,2023-01-02 13:12:19,Seutabeokseukolia,-3.24,0.02,GBP,COMPLETED,611.24
CARD_PAYMENT,Current,2022-12-30 06:56:48,2023-01-02 13:12:20,Keompojeukeopi(namincheon,-2.52,0.01,GBP,COMPLETED,608.71
CARD_PAYMENT,Current,2022-12-28 15:45:57,2023-01-02 13:12:20,Sebeunillebeun Yoinghyeon,-3.21,0.02,GBP,COMPLETED,605.48
CARD_PAYMENT,Current,2022-12-30 03:39:27,2023-01-02 13:12:20,Bbobja (bbobja),-19.79,0.10,GBP,COMPLETED,585.59
CARD_PAYMENT,Current,2022-12-28 15:29:08,2023-01-02 13:14:26,Sseondeochikininhadaijeom,-8.49,0.04,GBP,COMPLETED,577.06
CARD_PAYMENT,Current,2022-12-31 09:33:28,2023-01-02 13:14:32,Ministop  Yeouido  Park B,-5.93,0.09,GBP,COMPLETED,571.04
CARD_PAYMENT,Current,2022-12-30 00:41:47,2023-01-02 13:14:32,Gacheon  Cultural Foundat,-1.99,0.01,GBP,COMPLETED,569.04
CARD_PAYMENT,Current,2022-12-31 08:09:56,2023-01-02 13:14:32,Jomaru Gamjatang  8852314,-11.86,0.18,GBP,COMPLETED,557.00
CARD_PAYMENT,Current,2022-12-30 04:07:35,2023-01-02 13:14:32,(joo)gyobomoongo-Moonhoab,-10.57,0.05,GBP,COMPLETED,546.38
CARD_PAYMENT,Current,2022-12-31 04:00:22,2023-01-02 13:14:34,Bakery            9377144,-2.64,0.04,GBP,COMPLETED,543.70
CARD_PAYMENT,Current,2022-12-31 13:27:31,2023-01-02 13:14:34,Chicken           1775226,-14.49,0.21,GBP,COMPLETED,529.00
CARD_PAYMENT,Current,2022-12-30 05:59:55,2023-01-02 13:14:47,Ogtoshuhol,-23.15,0.12,GBP,COMPLETED,505.73
CARD_PAYMENT,Current,2022-12-30 16:12:54,2023-01-02 13:15:23,Zies(gs)25 Gooworlfand,-3.79,0.02,GBP,COMPLETED,501.92
CARD_PAYMENT,Current,2022-12-31 11:04:30,2023-01-02 13:15:23,Gs25yueuparagonjum,-1.65,0.03,GBP,COMPLETED,500.24
CARD_PAYMENT,Current,2022-12-31 17:01:40,2023-01-02 13:15:23,Gs25gooworlsungeujum,-18.05,0.27,GBP,COMPLETED,481.92
CARD_PAYMENT,Current,2022-12-30 00:51:34,2023-01-02 13:15:24,Palibakeddeu(yesoolhwe,-2.12,0.01,GBP,COMPLETED,479.79
CARD_PAYMENT,Current,2023-01-01 07:30:47,2023-01-02 13:21:34,"Udemy, Inc.",-9.23,0.14,GBP,COMPLETED,470.42
TRANSFER,Current,2023-01-03 00:00:00,2023-01-03 01:59:22,To Big Yellow,-96.80,0.00,GBP,COMPLETED,373.62
CARD_PAYMENT,Current,2023-01-01 05:53:02,2023-01-03 14:10:01,Seutabeokseukolia,-6.79,0.10,GBP,COMPLETED,366.73
CARD_PAYMENT,Current,2023-01-01 07:41:40,2023-01-03 14:10:01,Seutabeokseukolia,-4.15,0.06,GBP,COMPLETED,362.52
CARD_PAYMENT,Current,2023-01-01 09:32:10,2023-01-03 14:10:43,(joo)gyobomoongo-Moonhoab,-14.49,0.21,GBP,COMPLETED,347.82
TOPUP,Current,2023-01-04 07:19:41,2023-01-04 07:19:42,Payment from Serhii Kuzovkov,2196.40,0.00,GBP,COMPLETED,2544.22
CARD_PAYMENT,Current,2023-01-03 10:32:05,2023-01-04 12:07:33,Uber * Pending,-5.27,0.03,GBP,COMPLETED,2538.92
CARD_PAYMENT,Current,2023-01-03 10:15:10,2023-01-04 13:09:50,Zies(gs)25inhahaesung,-2.18,0.01,GBP,COMPLETED,2536.73
CARD_PAYMENT,Current,2023-01-03 10:08:55,2023-01-04 13:09:57,Darksalbubu,-11.19,0.06,GBP,COMPLETED,2525.48
CARD_PAYMENT,Current,2023-01-04 02:15:13,2023-01-04 13:19:56,Google Youtubepremium,-7.30,0.11,GBP,COMPLETED,2518.07
CARD_PAYMENT,Current,2023-01-03 16:24:19,2023-01-04 13:36:46,Adobe,-7.43,0.11,GBP,COMPLETED,2510.53
CARD_PAYMENT,Current,2023-01-02 08:59:18,2023-01-04 14:29:59,Seutabeokseukolia,-4.66,0.02,GBP,COMPLETED,2505.85
CARD_PAYMENT,Current,2023-01-01 09:11:07,2023-01-04 14:29:59,Ssijeoiiollibeuyeong(joo),-11.20,0.17,GBP,COMPLETED,2494.48
CARD_PAYMENT,Current,2023-01-02 05:55:59,2023-01-04 14:29:59,Seutabeokseukolia,-3.54,0.02,GBP,COMPLETED,2490.92
CARD_PAYMENT,Current,2023-01-02 12:32:55,2023-01-04 14:30:31,Paris Baguette  Incheon S,-1.64,0.01,GBP,COMPLETED,2489.27
CARD_PAYMENT,Current,2023-01-03 12:19:00,2023-01-05 13:47:49,(joo)momatoosseomincheong,-11.43,0.06,GBP,COMPLETED,2477.78
CARD_PAYMENT,Current,2023-01-03 13:29:15,2023-01-05 13:47:49,(joo)momatoosseomincheong,-3.22,0.02,GBP,COMPLETED,2474.54
CARD_PAYMENT,Current,2023-01-03 14:35:11,2023-01-05 13:47:49,(joo)momatoosseomincheong,-8.52,0.04,GBP,COMPLETED,2465.98
CARD_PAYMENT,Current,2023-01-02 12:27:20,2023-01-05 13:48:26,Cj Olive Young Guwol Town,-30.67,0.15,GBP,COMPLETED,2435.16
CARD_PAYMENT,Current,2023-01-03 08:52:56,2023-01-05 13:48:27,Paris Baguette Hakik Poon,-5.61,0.03,GBP,COMPLETED,2429.52
CARD_PAYMENT,Current,2023-01-05 05:45:42,2023-01-05 13:49:40,Kasikorn Bank Pcl,-58.99,0.29,GBP,COMPLETED,2370.24
CARD_PAYMENT,Current,2023-01-04 05:53:30,2023-01-06 13:10:42,Seutabeokseukolia,-4.67,0.02,GBP,COMPLETED,2365.55
CARD_PAYMENT,Current,2023-01-04 14:18:10,2023-01-06 13:10:42,(joo)momatoosseomincheong,-11.67,0.06,GBP,COMPLETED,2353.82
CARD_PAYMENT,Current,2023-01-04 04:32:59,2023-01-06 13:10:42,Seutabeokseukolia,-3.55,0.02,GBP,COMPLETED,2350.25
CARD_PAYMENT,Current,2023-01-04 03:44:28,2023-01-06 13:11:08,Gs 25  Guwol  Seongui Br,-0.60,0.00,GBP,COMPLETED,2349.65
CARD_PAYMENT,Current,2023-01-04 17:19:50,2023-01-06 13:12:14,Gs25gooworlsungeujum,-8.50,0.04,GBP,COMPLETED,2341.11
CARD_PAYMENT,Current,2023-01-04 17:18:13,2023-01-06 13:12:14,Gs25gooworlsungeujum,-2.55,0.01,GBP,COMPLETED,2338.55
CARD_PAYMENT,Current,2023-01-05 08:05:05,2023-01-06 13:12:14,Seooleungpijagooworlju,-13.81,0.07,GBP,COMPLETED,2324.67
CARD_PAYMENT,Current,2023-01-07 09:20:27,,Ssijeoiiollibeuyeong(joo),-159.85,2.40,GBP,PENDING,
CARD_PAYMENT,Current,2023-01-07 12:31:52,,Cj Olive Young Guwol Town,-1.33,0.02,GBP,PENDING,
CARD_PAYMENT,Current,2023-01-07 06:38:34,2023-01-07 13:34:56,Airbnb * Hms429cpxp,-31.43,0.47,GBP,COMPLETED,2292.77
CARD_PAYMENT,Current,2023-01-07 06:34:10,2023-01-07 13:34:56,Airbnb * Hmcyqfkchn,-347.14,5.21,GBP,COMPLETED,1940.42
CARD_PAYMENT,Current,2023-01-07 21:18:01,2023-01-08 12:43:10,Facebk *5g7qnk3pu2,-41.60,0.63,GBP,COMPLETED,1898.19
CARD_PAYMENT,Current,2023-01-08 04:23:40,2023-01-08 13:06:21,Facebk *3at77lbpu2,-41.41,0.62,GBP,COMPLETED,1856.16
CARD_PAYMENT,Current,2023-01-07 11:33:51,2023-01-08 13:28:17,"Udemy, Inc.",-12.60,0.19,GBP,COMPLETED,1843.37
CARD_PAYMENT,Current,2023-01-09 07:08:08,,Myujeueuiueon,-129.45,0.65,GBP,PENDING,
CARD_PAYMENT,Current,2023-01-09 09:26:26,,Pom De Pang Bakery,-3.51,0.02,GBP,PENDING,
CARD_PAYMENT,Current,2023-01-08 23:05:09,2023-01-09 12:28:49,Facebk *j6fa2lxnu2,-41.37,0.21,GBP,COMPLETED,1801.79
CARD_PAYMENT,Current,2023-01-06 08:31:46,2023-01-09 13:20:19,Suepeugookbab,-15.27,0.08,GBP,COMPLETED,1786.44
CARD_PAYMENT,Current,2023-01-06 08:37:41,2023-01-09 13:20:19,Seutabeokseukolia,-7.17,0.04,GBP,COMPLETED,1779.23
CARD_PAYMENT,Current,2023-01-07 10:02:44,2023-01-09 13:20:19,Sangsanggongganpeulleoseu,-3.32,0.05,GBP,COMPLETED,1775.86
CARD_PAYMENT,Current,2023-01-07 10:12:31,2023-01-09 13:20:20,Seutabeokseukolia,-4.71,0.07,GBP,COMPLETED,1771.08
CARD_PAYMENT,Current,2023-01-05 10:54:56,2023-01-09 13:20:20,Seutabeokseukolia,-4.14,0.02,GBP,COMPLETED,1766.92
CARD_PAYMENT,Current,2023-01-06 07:42:00,2023-01-09 13:20:20,Tegen,-5.64,0.03,GBP,COMPLETED,1761.25
CARD_PAYMENT,Current,2023-01-06 12:50:45,2023-01-09 13:20:20,Tegen,-20.27,0.10,GBP,COMPLETED,1740.88
